[-12  -4  -3  -2  -1   0   1   2   3   4   5],[ 1  1  2  7  8 27  6  7  2  1  1]
[-13  -4  -3  -2  -1   0   1   2   3   4],[ 1  1  2  5  9 27  8  8  1  1]
[-10  -6  -4  -3  -2  -1   0   1   2   3   5],[ 1  1  2  2  7  8 23  5  9  4  1]
[-9 -4 -3 -2 -1  0  1  2  3  4  5],[ 1  2  4  8  6 25  6  8  1  1  1]
[-9 -5 -4 -3 -2 -1  0  1  2  3  4],[ 1  1  1  1  4  8 30 12  1  2  2]
[-8 -5 -3 -2 -1  0  1  2  3  4  5],[ 1  1  4  5  9 23  9  5  4  1  1]
[-11  -4  -3  -2  -1   0   1   2   3   4],[ 1  1  6  3 10 23  5  8  2  4]
[-7 -5 -3 -2 -1  0  1  2  3  4  5],[ 1  2  2  4  8 29  7  7  1  1  1]
[-6 -5 -4 -3 -2 -1  0  1  2  3  4],[ 1  1  2  7  1  9 22 10  5  3  2]
[-5 -4 -3 -2 -1  0  1  2  3  4  7],[ 1  5  3  5  8 25  8  2  3  2  1]
[-6 -5 -4 -3 -2 -1  0  1  2  3],[ 1  2  2  5  8  5 19 13  5  3]
[-6 -5 -4 -3 -2 -1  0  1  2  3  5],[ 1  1  3  4  6  7 22 10  3  5  1]
[-6 -5 -4 -3 -2 -1  0  1  2  3],[ 1  1  4  3  3 10 22  7  8  4]
[-7 -4 -3 -2 -1  0  1  2  3  4  6],[ 1  3  5  8  9 18  7  7  3  1  1]
[-8 -7 -4 -3 -2 -1  0  1  2  3  4  5],[ 1  1  1  3  7  6 30  8  3  1  1  1]
[-7 -6 -4 -3 -2 -1  0  1  2  3],[ 1  1  2  5  2 11 24  7  8  2]
[-6 -5 -4 -3 -2 -1  0  1  2  3  4],[ 1  1  3  5  6  5 26  6  6  3  1]
[-5 -3 -2 -1  0  1  2  3  4],[ 3  1  7 18 14  9  6  4  1]
[-7 -6 -5 -3 -2 -1  0  1  2  3  4],[ 1  2  1  2  7 13 17  6  5  8  1]
[-6 -5 -4 -3 -2 -1  0  1  2  3  4],[ 1  2  3  5  5  9 20 11  3  3  1]
[-5 -4 -3 -2 -1  0  1  2  3  4  6],[ 2  2  3  6 11 25  3  5  3  2  1]
[-8 -5 -4 -3 -2 -1  0  1  2  3  4],[ 1  4  1  2  7 11 20  8  7  1  1]
[-6 -5 -4 -3 -2 -1  0  1  2  3  4  5],[ 1  1  4  2  8  8 20  8  7  2  1  1]
[-7 -5 -4 -3 -2 -1  0  1  2  3  4  5],[ 1  1  1  5 10  9 20  6  7  1  1  1]
[-8 -5 -4 -3 -2 -1  0  1  2  3  4],[ 1  2  1  2  7  7 25 10  4  3  1]
[-5 -4 -3 -2 -1  0  1  2  3  4],[ 2  1  7  8  7 16  5 10  6  1]
[-6 -5 -4 -2 -1  0  1  2  3],[ 1  3  3  6  8 21 11  7  3]
[-6 -5 -4 -3 -1  0  1  2  3],[ 1  2  3  4 13 22  9  7  2]
[-6 -5 -4 -3 -2 -1  0  1  2  3  4  5],[ 1  1  2  3 12  6 22  5  5  3  2  1]
[-6 -5 -4 -3 -2 -1  0  1  2  3],[ 1  1  3  5  8  6 16  8 10  5]
[-6 -5 -4 -2 -1  0  1  2  3  4  5],[ 1  1  4  8  8 25  5  4  4  2  1]
